time,asset,strategy,side,prob,entry,exit,pnl,status
2026-04-04T03:47:12.360Z,BTC,momentum,UP,0.8150,0.820000,1.000000,14.290000,WIN
2026-04-04T03:47:27.396Z,BTC,momentum,DOWN,0.1650,0.170000,0.000000,-2.560000,LOSS
2026-04-04T03:47:32.418Z,BTC,momentum,DOWN,0.1650,0.170000,0.000000,-18.380000,LOSS
2026-04-04T03:47:52.493Z,BTC,momentum,DOWN,0.2950,0.300000,0.000000,-9.790000,LOSS
2026-04-04T03:48:02.510Z,BTC,momentum,DOWN,0.2650,0.258476,0.000000,-10.970000,LOSS
2026-04-04T03:48:07.532Z,BTC,momentum,DOWN,0.1850,0.190000,0.000000,-19.460000,LOSS
2026-04-04T03:48:12.539Z,BTC,momentum,DOWN,0.1650,0.170000,0.000000,-28.610000,LOSS
2026-04-04T03:48:22.551Z,BTC,momentum,UP,0.8050,0.810000,1.000000,15.940000,WIN
2026-04-04T03:48:27.566Z,BTC,momentum,UP,0.7950,0.810000,1.000000,14.410000,WIN
2026-04-04T03:48:32.575Z,BTC,momentum,UP,0.8250,0.830000,1.000000,1.680000,WIN
2026-04-04T03:48:52.627Z,BTC,momentum,UP,0.9250,0.930000,1.000000,4.370000,WIN
2026-04-04T03:49:02.651Z,BTC,momentum,UP,0.9250,0.940000,1.000000,3.720000,WIN
2026-04-04T03:49:45.264Z,BTC,momentum,UP,0.6050,0.760000,1.000000,26.150000,WIN
2026-04-04T03:49:52.771Z,ETH,momentum,UP,0.7500,0.750000,0.000000,0.000000,LOSS
2026-04-04T03:49:52.772Z,BTC,momentum,UP,0.8050,0.810000,1.000000,13.080000,WIN
2026-04-04T03:50:07.795Z,ETH,momentum,DOWN,0.4700,0.480000,0.000000,-5.780000,LOSS
2026-04-04T03:50:12.807Z,ETH,momentum,UP,0.5300,0.540000,0.000000,-31.960000,LOSS
2026-04-04T03:50:25.343Z,ETH,momentum,UP,0.5050,0.510000,1.000000,42.860000,WIN
2026-04-04T03:50:32.858Z,ETH,momentum,UP,0.5050,0.510000,1.000000,42.860000,WIN
2026-04-04T03:50:45.372Z,ETH,momentum,UP,0.5050,0.520000,0.000000,-38.330000,LOSS
2026-04-04T03:50:52.905Z,ETH,momentum,UP,0.5150,0.520000,0.000000,-10.430000,LOSS
2026-04-04T03:51:00.441Z,ETH,momentum,UP,0.5200,0.530000,0.000000,-35.200000,LOSS
2026-04-04T03:51:05.443Z,ETH,momentum,UP,0.6050,0.610000,0.000000,-1.800000,LOSS
2026-04-04T03:51:10.458Z,ETH,momentum,UP,0.6300,0.630000,0.000000,-7.580000,LOSS
2026-04-04T03:51:25.509Z,ETH,momentum,UP,0.6450,0.650000,0.000000,-7.820000,LOSS
2026-04-04T03:51:30.509Z,ETH,momentum,UP,0.5250,0.660000,0.000000,-50.310000,LOSS
2026-04-04T03:51:45.556Z,SOL,momentum,DOWN,0.5350,0.540000,0.000000,-29.790000,LOSS
2026-04-04T03:51:50.574Z,ETH,momentum,DOWN,0.4150,0.420000,1.000000,2.890000,WIN
2026-04-04T03:52:00.609Z,ETH,momentum,DOWN,0.3750,0.380000,1.000000,89.580000,WIN
2026-04-04T03:52:05.624Z,ETH,momentum,DOWN,0.3650,0.370000,1.000000,70.440000,WIN
2026-04-04T03:52:10.636Z,ETH,momentum,DOWN,0.3400,0.340000,1.000000,78.250000,WIN
2026-04-04T03:52:20.675Z,ETH,momentum,DOWN,0.3250,0.320000,1.000000,53.640000,WIN
2026-04-04T03:52:25.682Z,ETH,momentum,UP,0.6950,0.760000,0.000000,-9.150000,LOSS
2026-04-04T03:52:30.691Z,ETH,momentum,UP,0.8050,0.810000,0.000000,-6.390000,LOSS
2026-04-04T03:52:45.739Z,XRP,momentum,UP,0.7650,0.810000,0.000000,-28.050000,LOSS
2026-04-04T03:52:50.755Z,ETH,momentum,UP,0.8550,0.880000,0.000000,-71.560000,LOSS
2026-04-04T03:53:45.875Z,BTC,momentum,UP,0.8950,0.900000,0.000000,-65.970000,LOSS
2026-04-04T03:55:06.096Z,SOL,momentum,UP,0.4850,0.490000,0.000000,-59.570000,LOSS
2026-04-04T03:55:11.107Z,SOL,momentum,UP,0.4350,0.450000,0.000000,-15.710000,LOSS
2026-04-04T03:55:31.149Z,SOL,momentum,UP,0.4400,0.450000,1.000000,7.330000,WIN
2026-04-04T03:55:46.176Z,SOL,momentum,UP,0.4250,0.430000,1.000000,11.450000,WIN
2026-04-04T03:55:51.186Z,SOL,momentum,UP,0.4300,0.440000,1.000000,6.990000,WIN
2026-04-04T03:56:06.231Z,SOL,momentum,DOWN,0.6150,0.620000,1.000000,4.240000,WIN
2026-04-04T03:56:11.233Z,SOL,momentum,DOWN,0.6150,0.620000,1.000000,2.270000,WIN
2026-04-04T03:56:26.265Z,SOL,momentum,DOWN,0.6150,0.620000,1.000000,6.500000,WIN
2026-04-04T03:56:31.272Z,SOL,momentum,DOWN,0.6200,0.630000,1.000000,6.330000,WIN
2026-04-04T03:56:36.276Z,SOL,momentum,UP,0.3800,0.390000,0.000000,-24.690000,LOSS
2026-04-04T03:56:46.302Z,XRP,momentum,UP,0.4450,0.500000,0.000000,-4.510000,LOSS
2026-04-04T03:56:51.314Z,SOL,momentum,UP,0.3650,0.390000,0.000000,-19.530000,LOSS
2026-04-04T03:56:56.336Z,SOL,momentum,UP,0.3700,0.390000,0.000000,-17.180000,LOSS
2026-04-04T03:57:01.350Z,SOL,momentum,UP,0.3650,0.390000,0.000000,-19.530000,LOSS
2026-04-04T03:57:06.352Z,SOL,momentum,UP,0.3650,0.390000,0.000000,-19.530000,LOSS
2026-04-04T03:57:11.370Z,SOL,momentum,UP,0.3650,0.390000,0.000000,-19.530000,LOSS
